#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eight_legends;Eight Legends;;;;;;;;;;;;;x
eight_legends_desc;This character is one of the Eight Legends, humanity's greatest generals during the Scouring.;;;;;;;;;;;;;x
#immortal;Ageless;;;;;;;;;;;;;x
#immortal_desc;Through magic acquired or innate, this character is practically immortal - [GetSheHe] will not die from natural causes as long as [GetHerHis] power does not fail [GetHerHim]. However, that does not mean GetSheHe] cannot be killed...;;;;;;;;;;;;;x
#disappeared;Disappeared;;;;;;;;;;;;;x
#disappeared_desc;This character has vanished completely. [GetSheHe] may still be alive - in another world or hidden in a remote part of this one. However, [GetSheHe] is dead for all practical purposes.;;;;;;;;;;;;;x
#disappeared_death;or vanished without a trace;;;;;;;;;;;;;x
sleeping;Slumbering;;;;;;;;;;;;;x
sleeping_desc;This character has fallen into a deep slumber, and no longer interacts with the mortal world.;;;;;;;;;;;;;x
sleeping_death;or fell into a deep slumber;;;;;;;;;;;;;x
bad_priest_light;Wicked Priest;Mauvais prêtre;Der gottlose Priester;;Sacerdote malvado;;;;;;;;;x
class_assassin_female_desc;Masters of the killing arts. They have the ability to kill a foe with a single stroke.;;;;;;;;;;;;;x
class_bard;Bard;;;;;;;;;;;;;x
class_bard_desc;Musicians whose songs inspire allies. They do not fight in combat.;;;;;;;;;;;;;x
class_berserker;Berserker;;;;;;;;;;;;;x
class_berserker_desc;A title for those who live to fight. Strong in mountains or at sea. Skilled in killing blows.;;;;;;;;;;;;;x
class_bishop;Bishop;;;;;;;;;;;;;x
class_bishop_desc;A title given to priests who have attained enlightenment. Wields magic for offense.;;;;;;;;;;;;;x
class_bishop_female;Bishop;;;;;;;;;;;;;x
class_bishop_female_desc;A title given to clerics who have attained enlightenment. Wields magic for offense.;;;;;;;;;;;;;x
class_brigand;Brigand;;;;;;;;;;;;;x
class_brigand_desc;Mighty axe fighters especially skilled in mountain combat.;;;;;;;;;;;;;x
class_cavalier;Cavalier;;;;;;;;;;;;;x
class_cavalier_desc;Mounted knights with superior movement. Well balanced for speed, defense, & attack.;;;;;;;;;;;;;x
class_cleric;Cleric;;;;;;;;;;;;;x
class_cleric_desc;Wielders of sacred staves who aid allies in battle. They refuse to take arms in combat.;;;;;;;;;;;;;x
class_dancer;Dancer;;;;;;;;;;;;;x
class_dancer_desc;Dancers whose grace soothes allies. They do not fight in combat.;;;;;;;;;;;;;x
class_dark_druid;Dark Druid;;;;;;;;;;;;;x
class_dark_druid_desc;A druid whose soul has been sacrificed to darkness in an appeal for power.;;;;;;;;;;;;;x
class_sorceror;Sorceror;;;;;;;;;;;;;x
#class_sorceror_desc;A title received by shamans who focus their powers toward mastering dark arts.;;;;;;;;;;;;;x
#class_druid_desc;A title granted to powerful shamans. Those who battle them cower in fear of their might.;;;;;;;;;;;;;x
class_sorceror_desc;A title granted to powerful dark mages. Those who battle them cower in fear of their might.;;;;;;;;;;;;;x
class_sorceror_female;Sorceress;;;;;;;;;;;;;x
#class_sorceror_female_desc;A title received by shamans who focus their powers toward mastering dark arts.;;;;;;;;;;;;;x
#class_druid_female_desc;A title granted to powerful shamans. Those who battle them cower in fear of their might.;;;;;;;;;;;;;x
class_sorceror_female_desc;A title granted to powerful dark mages. Those who battle them cower in fear of their might.;;;;;;;;;;;;;x
class_falcon_knight;Falcon Knight;;;;;;;;;;;;;x
class_falcon_knight_desc;A title bestowed upon skilled pegasus knights. They have superb speed and magic resistance.;;;;;;;;;;;;;x
#class_falcon_knight_desc;Knights united with their pegasus mounts. They have superior skill and resistance.;;;;;;;;;;;;;x
class_fighter;Fighter;;;;;;;;;;;;;x
class_fighter_desc;Axe-wielding powerhouses whose wild fighting style leaves them with poor defenses.;;;;;;;;;;;;;x
class_general;General;;;;;;;;;;;;;x
class_general_desc;Lordly knights in heavy armor. They possess excellent defensive and offensive skills.;;;;;;;;;;;;;x
#class_general_desc;A title earned by seasoned knights. Excellent offensive and defensive skills.;;;;;;;;;;;;;x
class_great_knight;Great Knight;;;;;;;;;;;;;x
class_great_knight_desc;Knights with high defense and mobility. They use swords, axes, and lances equally well.;;;;;;;;;;;;;x
class_hero;Hero;;;;;;;;;;;;;x
class_hero_desc;The finest of all mercenary warriors, expert in all fields of combat.;;;;;;;;;;;;;x
class_hero_female;Hero;;;;;;;;;;;;;x
class_hero_female_desc;The finest of all mercenary warriors, expert in all fields of combat.;;;;;;;;;;;;;x
class_knight;Knight;;;;;;;;;;;;;x
class_knight_desc;Heavily armored knights. Superior defense outweighs their poor movement and speed.;;;;;;;;;;;;;x
class_mage;Mage;;;;;;;;;;;;;x
class_mage_desc;Mages schooled in anima magic. They can bypass most defenses but are weak against conventional weapons.;;;;;;;;;;;;;x
class_mage_female;Mage;;;;;;;;;;;;;x
class_mage_female_desc;Mages schooled in anima magic. They can bypass most defenses but are weak against conventional weapons.;;;;;;;;;;;;;x
class_mage_knight;Mage Knight;;;;;;;;;;;;;x
#class_mage_knight_desc;Mounted mage-knights who wield anima magic. Can also use swords.;;;;;;;;;;;;;x
class_mage_knight_desc;Mounted mage-knights who wield anima magic. Can also use sacred staves.;;;;;;;;;;;;;x
class_mage_knight_female;Mage Knight;;;;;;;;;;;;;x
#class_mage_knight_female_desc;Mounted mage-knights who wield anima magic. Can also use sacred staves.;;;;;;;;;;;;;x
class_mage_knight_female_desc;Mounted mage-knights who wield anima magic. Can also use sacred staves.;;;;;;;;;;;;;x
class_magic_seal;Magic Seal;;;;;;;;;;;;;x
class_magic_seal_desc;A foul creature born of heresy who negates the effects of magic.;;;;;;;;;;;;;x
class_manakete;Manakete;;;;;;;;;;;;;x
class_manakete_desc;A fabled race said to be able to take dragon form.;;;;;;;;;;;;;x
class_manakete_female;Manakete;;;;;;;;;;;;;x
class_manakete_female_desc;A fabled race said to be able to take dragon form.;;;;;;;;;;;;;x
class_mercenary;Mercenary;;;;;;;;;;;;;x
class_mercenary_desc;Professional soldiers-for-hire. They are well balanced, with superior ablilities all around.;;;;;;;;;;;;;x
class_mercenary_female;Mercenary;;;;;;;;;;;;;x
class_mercenary_female_desc;Professional soldiers-for-hire. They are well balanced, with superior ablilities all around.;;;;;;;;;;;;;x
class_monk;Monk;;;;;;;;;;;;;x
class_monk_desc;Ascetic wielders of sacred light magic. They have superior ability to hit but low attack power.;;;;;;;;;;;;;x
class_myrmidon;Myrmidon;;;;;;;;;;;;;x
class_myrmidon_desc;Swordsmen who possess superior speed and technique. They specialize in killing strokes.;;;;;;;;;;;;;x
class_myrmidon_female;Myrmidon;;;;;;;;;;;;;x
class_myrmidon_female_desc;Swordsmen who possess superior speed and technique. They specialize in killing strokes.;;;;;;;;;;;;;x
#class_horse_archer;Nomad;;;;;;;;;;;;;x
class_horse_archer;Horse Archer;;;;;;;;;;;;;x
class_horse_archer_desc;Riders skilled in horseback archery. Incredibly swift.;;;;;;;;;;;;;x
#class_horse_archer_female;Nomad;;;;;;;;;;;;;x
class_horse_archer_female;Horse Archer;;;;;;;;;;;;;x
class_horse_archer_female_desc;Riders skilled in horseback archery. Incredibly swift.;;;;;;;;;;;;;x
class_paladin;Paladin;;;;;;;;;;;;;x
class_paladin_desc;A title earned only by those cavaliers whose lives have been dedicated to justice.;;;;;;;;;;;;;x
class_pegasus_knight;Pegasus Knight;;;;;;;;;;;;;x
class_pegasus_knight_desc;Knights who soar through the skies on pegasi. They resist magic but are weak against bows.;;;;;;;;;;;;;x
class_pirate;Pirate;;;;;;;;;;;;;x
class_pirate_desc;Axe-wielding privateers trained to fight on the high seas.;;;;;;;;;;;;;x
class_priest;Priest;;;;;;;;;;;;;x
class_priest_desc;Members of the clergy who wield sacred staves to aid allies. They carry no weapons.;;;;;;;;;;;;;x
#class_bow_knight;Nomad Trooper;;;;;;;;;;;;;x
class_bow_knight;Ranger;;;;;;;;;;;;;x
class_bow_knight_desc;Mounted knights who charge into battle with sword and bow. They possess great mobility.;;;;;;;;;;;;;x
#class_ranger_desc;A title earned by combat-hardened nomads. Sword-swinging, arrow-flinging warriors.;;;;;;;;;;;;;x
#class_bow_knight_female;Nomad Trooper;;;;;;;;;;;;;x
class_bow_knight_female;Ranger;;;;;;;;;;;;;x
class_bow_knight_female_desc;Mounted knights who charge into battle with sword and bow. They possess great mobility.;;;;;;;;;;;;;x
#class_ranger_female_desc;A title earned by combat-hardened nomads. Sword-swinging, arrow-flinging warriors.;;;;;;;;;;;;;x
class_rogue;Rogue;;;;;;;;;;;;;x
class_rogue_desc;Adventurer-thieves with skills so great they can open chests and doors without tools.;;;;;;;;;;;;;x
class_sage;Sage;;;;;;;;;;;;;x
class_sage_desc;A title given to advanced mages. They wield magic and can carry staves.;;;;;;;;;;;;;x
class_sage_female;Sage;;;;;;;;;;;;;x
class_sage_female_desc;A title given to advanced mages. They wield magic and can carry staves.;;;;;;;;;;;;;x
class_dark_mage;Dark Mage;;;;;;;;;;;;;x
class_dark_mage_desc;Masters of elder black magic. They are very powerful, but very slow as well.;;;;;;;;;;;;;x
class_dark_mage_female;Dark Mage;;;;;;;;;;;;;x
class_dark_mage_female_desc;Masters of elder black magic. They are very powerful, but very slow as well.;;;;;;;;;;;;;x
class_sniper;Sniper;;;;;;;;;;;;;x
class_sniper_desc;Archers dedicated to mastering their art. None can match their skill with the bow.;;;;;;;;;;;;;x
#class_sniper_desc;A title won by veteran archers. None can match their skill with the bow..;;;;;;;;;;;;;x
class_sniper_female;Sniper;;;;;;;;;;;;;x
class_sniper_female_desc;Archers dedicated to mastering their art. None can match their skill with the bow.;;;;;;;;;;;;;x
#class_sniper_female_desc;A title won by veteran archers. None can match their skill with the bow..;;;;;;;;;;;;;x
class_soldier;Soldier;;;;;;;;;;;;;x
class_soldier_desc;Foot soldiers who bear spears in combat.;;;;;;;;;;;;;x
#class_soldier_desc;Average foot soldiers possessing no unique abilities. They bear spears in combat.;;;;;;;;;;;;;x
class_summoner;Summoner;;;;;;;;;;;;;x
class_summoner_desc;A title granted to shamans who have used forbidden magic to learn the summoning arts.;;;;;;;;;;;;;x
class_swordmaster;Swordmaster;;;;;;;;;;;;;x
class_swordmaster_desc;A title given to those dedicated to the sword. They are capable of incredible speed and killing strokes.;;;;;;;;;;;;;x
class_swordmaster_female;Swordmaster;;;;;;;;;;;;;x
class_swordmaster_female_desc;A title given to those dedicated to the sword. They are capable of incredible speed and killing strokes.;;;;;;;;;;;;;x
class_tactician;Tactician;;;;;;;;;;;;;x
class_tactician_desc;A tactician gifted with exceptional commanding ability. A pivotal unit in any army.;;;;;;;;;;;;;x
class_thief;Thief;;;;;;;;;;;;;x
class_thief_desc;Rogues and fortune hunters. They possess weak attacks but many other skills.;;;;;;;;;;;;;x
class_thief_female;Thief;;;;;;;;;;;;;x
class_thief_female_desc;Rogues and fortune hunters. They possess weak attacks but many other skills.;;;;;;;;;;;;;x
class_troubador;Troubador;;;;;;;;;;;;;x
class_troubador_desc;Mounted healers whose sacred staves aid allies. They are swift but will not fight.;;;;;;;;;;;;;x
#class_troubador_desc;Mounted maidens whose sacred staves aid allies. They are swift but will not fight.;;;;;;;;;;;;;x
class_valkyrie;Valkyrie;;;;;;;;;;;;;x
#class_valkyrie_desc;Warriors who ride into combat wielding light magic and sacred staves.;;;;;;;;;;;;;x
class_valkyrie_desc;Battle maidens who ride into combat wielding light magic and sacred staves.;;;;;;;;;;;;;x
#class_valkyrie_desc;A title given to the finest troubadours. Wields sacred magic to aid allies.;;;;;;;;;;;;;x
class_war_cleric;War Cleric;;;;;;;;;;;;;x
class_war_cleric_desc;A holy warrior who wields weapons and healing staves.;;;;;;;;;;;;;x
class_war_priest;War Priest;;;;;;;;;;;;;x
class_war_priest_desc;A holy warrior who wields weapons and healing staves.;;;;;;;;;;;;;x
class_warrior;Warrior;;;;;;;;;;;;;x
class_warrior_desc;A title awarded to battle-tested warriors. The strongest of all fighters.;;;;;;;;;;;;;x
class_wyvern_knight;Wyvern Knight;;;;;;;;;;;;;x
class_wyvern_knight_desc;High-flying, lance-wielding knights. They can penetrate enemy defenses with ease.;;;;;;;;;;;;;x
class_wyvern_lord;Wyvern Lord;;;;;;;;;;;;;x
class_wyvern_lord_desc;A title earned by only truly skilled wyvern riders. They are well-balanced warriors.;;;;;;;;;;;;;x
#class_wyvern_lord_desc;Knights united with their wyvern mounts. They have better movement and combat skill.;;;;;;;;;;;;;x
class_wyvern_rider;Wyvern Rider;;;;;;;;;;;;;x
class_wyvern_rider_desc;Knights who rule the skies from wyvern-back. They are vulnerable to only bows and magic.;;;;;;;;;;;;;x
disinherited;Disinherited;;;;;;;;;;;;;x
disinherited_desc;This character has been removed from the line of succession.;;;;;;;;;;;;;x
supreme_essence;Supreme Essence;;;;;;;;;;;;;x
supreme_essence_desc;This character has absorbed a great deal of powerful quintessence.;;;;;;;;;;;;;x
crusader_draconic;Crusader;Croisé;Kreuzritter;;Paladín;;;;;;;;;x
crusader_draconic_desc;This character is a veteran Crusader.;Ce personnage est un vétéran des croisades;Dieser Charakter ist ein erfahrender Kreuzritter.;;Este personaje es un paladín veterano.;;;;;;;;;x
holy_blood_major_loptous;Major Loptous Holy Blood;;;;;;;;;;;;;x
holy_blood_major_loptous_desc;This character has major §YLoptyr§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_naga;Major Naga Holy Blood;;;;;;;;;;;;;x
holy_blood_major_naga_desc;This character has major §YNaga§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_baldr;Major Baldr Holy Blood;;;;;;;;;;;;;x
holy_blood_major_baldr_desc;This character has major §YBaldr§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_blagi;Major Blagi Holy Blood;;;;;;;;;;;;;x
holy_blood_major_blagi_desc;This character has major §YBlagi§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_dain;Major Dain Holy Blood;;;;;;;;;;;;;x
holy_blood_major_dain_desc;This character has major §YDain§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_fjalar;Major Fjalar Holy Blood;;;;;;;;;;;;;x
holy_blood_major_fjalar_desc;This character has major §YFjalar§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_forseti;Major Forseti Holy Blood;;;;;;;;;;;;;x
holy_blood_major_forseti_desc;This character has major §YForseti§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_hezul;Major Hezul Holy Blood;;;;;;;;;;;;;x
holy_blood_major_hezul_desc;This character has major §YHezul§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_neir;Major Neir Holy Blood;;;;;;;;;;;;;x
holy_blood_major_neir_desc;This character has major §YNeir§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_noba;Major Noba Holy Blood;;;;;;;;;;;;;x
holy_blood_major_noba_desc;This character has major §YNoba§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_od;Major Od Holy Blood;;;;;;;;;;;;;x
holy_blood_major_od_desc;This character has major §YOd§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_thrud;Major Thrud Holy Blood;;;;;;;;;;;;;x
holy_blood_major_thrud_desc;This character has major §YThrud§! holy blood.;;;;;;;;;;;;;x
holy_blood_major_ulir;Major Ulir Holy Blood;;;;;;;;;;;;;x
holy_blood_major_ulir_desc;This character has major §YUlir§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_loptous;Minor Loptous Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_loptous_desc;This character has minor §YLoptyr§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_naga;Minor Naga Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_naga_desc;This character has minor §YNaga§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_baldr;Minor Baldr Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_baldr_desc;This character has minor §YBaldr§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_blagi;Minor Blagi Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_blagi_desc;This character has minor §YBlagi§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_dain;Minor Dain Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_dain_desc;This character has minor §YDain§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_fjalar;Minor Fjalar Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_fjalar_desc;This character has minor §YFjalar§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_forseti;Minor Forseti Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_forseti_desc;This character has minor §YForseti§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_hezul;Minor Hezul Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_hezul_desc;This character has minor §YHezul§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_neir;Minor Neir Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_neir_desc;This character has minor §YNeir§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_noba;Minor Noba Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_noba_desc;This character has minor §YNoba§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_od;Minor Od Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_od_desc;This character has minor §YOd§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_thrud;Minor Thrud Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_thrud_desc;This character has minor §YThrud§! holy blood.;;;;;;;;;;;;;x
holy_blood_minor_ulir;Minor Ulir Holy Blood;;;;;;;;;;;;;x
holy_blood_minor_ulir_desc;This character has minor §YUlir§! holy blood.;;;;;;;;;;;;;x
possessed_loptous;Possessed;;;;;;;;;;;;;x
possessed_loptous_desc;This character is charismatic, but profoundly unsettling. [GetHerHisCap] gaze draws you in, and you lose yourself in it...;;;;;;;;;;;;;x
possessed_forseti;Possessed;;;;;;;;;;;;;x
possessed_forseti_desc;This character is cold and distant. [GetSheHeCap] shows a wealth of knowledge of the world but is reluctant to involve [GetHerselfHimself] in political affairs.;;;;;;;;;;;;;x
no_marriage;Refusing Marriage;;;;;;;;;;;;;x
no_marriage_desc;This character believes [GetSheHe] has more important things to do at the moment than finding a spouse.;;;;;;;;;;;;;x
undead;Undead;;;;;;;;;;;;;x
undead_desc;This character is a living corpse. While the undead are completely devoted to their masters, most religions consider them abominations to be destroyed at once.;;;;;;;;;;;;;x
deadlord;Deadlord;;;;;;;;;;;;;x
deadlord_desc;This character is one of the twelve Deadlords. Deadlords are ancient spirits summoned to inhabit the corpses of fallen warriors. They twist the bodies they inhabit into forms that suit their identities and powers. The dark mages who call on them typically have them serve as generals or elite soldiers.;;;;;;;;;;;;;x
