fe_plot.9.A;[FromFrom.GetTitledFirstName] must be behind this!;[FromFrom.GetTitledFirstName] doit se cacher derrière tout ça !;[FromFrom.GetTitledFirstName] muss dahinter stecken!;;¡[FromFrom.GetTitledFirstName] debe estar detrás de esto!;;;;;;;;;x;
fe_plot.10.desc;Was that man about to steal the Fire Emblem? Why?;;;;;;;;;;;;;x;
fe_plot.10.A;I guess I'll never know...;Je crois que je ne le saurai jamais.;Ich schätze, wir werden es nie herausfinden...;;Creo que nunca lo sabré...;;;;;;;;;x;
fe_plot.11.desc;Good news! My co-conspirator, [From.GetTitledName], has let me know that a certain artifact necessary for [Root.PlotTarget.GetTitledName]'s confirmation as the right-born heir is about to vanish mysteriously...;;;;;;;;;;;;;x;
fe_plot.11.A;Stealing such a heavily guarded object is impossible, is it not?;;;;;;;;;;;;;x;
fe_plot.12.desc;[From.GetTitledName] approves of my scheme to have the Fire Emblem stolen.;;;;;;;;;;;;;x;
fe_plot.13.desc;[From.GetTitledName] has let me know that the plot to steal the Fire Emblem is proceeding well. A master thief will soon steal it from the treasure room...;;;;;;;;;;;;;x;
fe_plot.14.desc;Success! The thief made off with the Emblem! Unfortunately, he was noticed and traced back to me.;;;;;;;;;;;;;x;
fe_plot.15.desc;Success! The thief was as silent as a shadow and the Fire Emblem has mysteriously disappeared.;;;;;;;;;;;;;x;
fe_plot.15.A;The perfect crime.;;;;;;;;;;;;;x;
fe_plot.16.desc;Failure! The thief was caught red-handed. My complicity was discovered.;;;;;;;;;;;;;x;
fe_plot.16.A;Curses!;Zut !;Verflucht!;;¡Maldición!;;;;;;;;;x;
fe_plot.17.desc;Failure! The thief was unable to access the room where the Fire Emblem is kept, and will not be making another attempt. At least he managed to evade the guards and keep the plot undetected...;;;;;;;;;;;;;x;
fe_plot.41.desc;Your attempts to infiltrate [Root.PlotTarget.Location.GetName] have been unsuccessful. [Root.PlotTarget.GetTitledFirstName] was too heavily guarded for you to approach undetected. You'll have to call off the assassination plan for now.;;;;;;;;;;;;;x;
fe_plot.41.A;Those guards can't stay awake forever.;;;;;;;;;;;;;x;
fe_plot.42.desc;For the past several days, the night watchmen at [Root.Location.GetName] have seen a suspicious figure lurking in the area, watching the guards' movements and fleeing when spotted. It stopped appearing last night, but your guards advise caution.;;;;;;;;;;;;;x;
fe_plot.42.A;Whoever that was, they weren't here for anything good.;;;;;;;;;;;;;x;
fe_plot.44.desc;Some time after you fall asleep, you're awakened by a sharp pain in your neck. You try to open your eyes and see what happened, but your body won't respond. You can feel your thoughts fading away...;;;;;;;;;;;;;x;
fe_plot.44.A;Wha-what...?!;Qu-Quoi...?!;W-Was ...?!;;¡¿C, cómo...?!;;;;;;;;;x
fe_plot.45.desc;You hear a noise and wake up to see [FromFrom.GetTitledFirstName] standing over you, dressed in dark clothes and carrying a large dagger! You yell for your guards, but there's no way they can reach you in time. The last thing you see is the dagger descending towards your heart...;;;;;;;;;;;;;x;
fe_plot.45.A;[FromFrom.GetTitledFirstName], you won't get away with this!;;;;;;;;;;;;;x;
fe_plot.46.desc;Success! I slipped past [From.GetTitledFirstName]'s dimwitted guards, murdered [From.GetHerHim] in [From.GetHerHis] sleep, and flew out of [From.Location.GetName] before anyone realized what happened.;;;;;;;;;;;;;x;
fe_plot.46.A;An excellent night's work.;;;;;;;;;;;;;x;
fe_plot.47.desc;Success! I stabbed [From.GetTitledFirstName] to death in [From.GetHerHis] own bed! Unfortunately, [From.GetSheHe] screamed for the guards before [From.GetSheHe] died. I was spotted and identified during my escape. Now everyone knows I killed [From.GetFirstName] with my own hands...;;;;;;;;;;;;;x;
fe_plot.47.A;Maybe I should have found someone else to do this.;;;;;;;;;;;;;x;
fe_plot.48.desc;After a hard day of ruling, nothing beats a good night's sleep in your nice soft bed.;;;;;;;;;;;;;x;
fe_plot.48.A;I hope I have a nice dream tonight!;;;;;;;;;;;;;x;
fe_plot.48.B;It seems quieter than usual tonight...;;;;;;;;;;;;;x;
fe_plot.49.desc;As you creep into [Root.PlotTarget.GetTitledFirstName]'s bedchamber, preparing to deliver a well-deserved stabbing, you knock over a decorative object. It falls to the ground with a loud crash. [Root.PlotTarget.GetFirstName] is out of bed in an instant, and [Root.PlotTarget.GetSheHe] is staring directly at you.;;;;;;;;;;;;;x;
fe_plot.49.A;Time to get out of here!;;;;;;;;;;;;;x;
fe_plot.49.B;I've come too far to turn back now.;;;;;;;;;;;;;x;
fe_plot.49.B.tooltip;You attack [Root.PlotTarget.GetTitledFirstName] anyway.;;;;;;;;;;;;;x;
fe_plot.50.desc;You are awakened in the middle of the night by a loud crash! You leap out of bed and see [From.GetTitledFirstName] standing near the door, dressed in dark clothes and carrying a wicked-looking blade. You call for your guards, but [From.GetSheHe] scurries away before anyone can catch [From.GetHerHim].;;;;;;;;;;;;;x;
fe_plot.50.A;You'd better run, you [GetRootFromInsult]!;;;;;;;;;;;;;x;
fe_plot.51.desc;You are awakened in the middle of the night by a loud crash! You leap out of bed and see [From.GetTitledFirstName] standing near the door, dressed in dark clothes and brandishing a weapon. [From.GetSheHeCap] can only be here for one reason. [From.GetFirstName] charges towards you, hate buring in [From.GetHerHis] eyes!;;;;;;;;;;;;;x;
fe_plot.51.A;Aaaaaah! Get back!;;;;;;;;;;;;;x;
fe_plot.51.B;You think you can take me by surprise?!;;;;;;;;;;;;;x;
fe_plot.52.desc;You do your best to fight back, but you're still half asleep and [FromFrom.GetTitledFirstName] is a trained assassin. As you lie on the ground, bleeding out, you take some comfort in the fact that your fight was noisy enough to make it impossible for [FromFrom.GetTitledFirstName] to escape undetected.;;;;;;;;;;;;;x;
fe_plot.52.A;Someone, avenge me...;;;;;;;;;;;;;x;
fe_plot.53.desc;Success! I dispatched [From.GetTitledFirstName] after a short fight. Unfortunately, the [GetRootFromInsult] screamed for [From.GetHerHis] guards before I could put [From.GetHerHim] out of [From.GetHerHis] misery. I was spotted and identified during my escape. Now everyone knows I killed [From.GetFirstName] with my own hands...;;;;;;;;;;;;;;x;
fe_plot.53.A;Maybe I should have found someone else to do this.;;;;;;;;;;;;;x;
fe_plot.54.desc;After a violent struggle, you manage to overpower [FromFrom.GetTitledFirstName]. The would-be assassin lies dead at your feet.;;;;;;;;;;;;;x;
fe_plot.54.A;Get this body out of here and double the guard. I'm going back to sleep.;;;;;;;;;;;;;x;
fe_plot.55.desc;Failure! [From.GetTitledFirstName] proved to be a formidable fighter even roused from bed in the middle of the night. After a brief struggle, you're the one lying on the ground, bleeding out...;;;;;;;;;;;;;;x;
fe_plot.56.desc;After a violent struggle, you manage to overpower [FromFrom.GetTitledFirstName]. The would-be assassin is unconscious and at your mercy.;;;;;;;;;;;;;x;
fe_plot.56.A;Throw [FromFrom.GetHerHim] in the dungeon. I'll decide what to do later.;;;;;;;;;;;;;x;
fe_plot.56.A.tooltip;[FromFrom.GetTitledFirstName] is imprisoned by [Root.GetTitledFirstName]\n;;;;;;;;;;;;;x;
fe_plot.57.desc;Failure! [From.GetTitledFirstName] proved to be a formidable fighter even roused from bed in the middle of the night. You're knocked unconscious after a brief struggle. When you come to, you find yourself in the dungeons of [From.Capital.GetName].;;;;;;;;;;;;;;x;
fe_plot.57.A;Can it get any worse?;;;;;;;;;;;;;x;
fe_plot.58.desc;With the aid of your fellow conspirators, you have managed to seize control of the [Root.PlotTargetTitle.GetFullBaseName] and install yourself as ruler. There ae loyalists and holdouts who are upset at your heavy-handed methods, but the plan went as well as could be expected.;;;;;;;;;;;;;x;
fe_plot.58.A;Excellent.;Fantastique !;Ausgezeichnet.;;Excelente;;;;;;;;;x
fe_plot.58.tooltip;the coup succeeding and installing [Root.GetTitledFirstName] as the new ruler of [Root.PlotTargetTitle.GetName].;;;;;;;;;;;;;x;
fe_plot.59.desc;A coup led by [From.GetFullName] has ousted you from power in the [From.PlotTargetTitle.GetFullBaseName]!;;;;;;;;;;;;;x;
fe_plot.59.A;That [GetRootFromInsult]!;;;;;;;;;;;;;x;
fe_plot.60.desc;Your cabal has failed to seize power in the [Root.PlotTargetTitle.GetFullBaseName], and it is only a matter of time before [Root.PlotTarget.GetTitledFirstName] obtains proof of your role as the mastermind. You could throw yourself on the mercy of the [Root.PlotTarget.GetTitle], or raise arms in open revolt.;;;;;;;;;;;;;x;
fe_plot.60.A;I cannot afford to back down here!;;;;;;;;;;;;;x;
fe_plot.60.A.tooltip;[Root.GetTitledFirstName] and [Root.GetHerHis] fellow plotters start a revolt to seize power in the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;;;;;x;
fe_plot.60.B;What was I thinking? My liege, please forgive me...;;;;;;;;;;;;;x;
fe_plot.60.tooltip;the coup failing, but [Root.GetTitledFirstName] and [Root.GetHerHis] fellow plotters evading capture and having the chance to start a war for control of [Root.PlotTargetTitle.GetName].;;;;;;;;;;;;;x;
#fe_plot.60.desc;Your cabal has managed to seize power in the [Root.PlotTargetTitle.GetFullBaseName], but not without some unfortunate difficulties. Although [Root.PlotTarget.GetTitledFirstName] is securely in your custody, a loyalist faction has risen in revolt, demanding that [Root.PlotTarget.GetSheHe] be restored to [Root.PlotTarget.GetHerHis] throne!;;;;;;;;;;;;;x;
#fe_plot.60.A;They will be dealt with.;;;;;;;;;;;;;x;
fe_plot.61.desc;A band of your vassals, led by [From.GetFullName], have hatched a plot to seize power in the [From.PlotTargetTitle.GetFullBaseName]! They attempted to capture you and take over quickly and quietly, but your alert retainers foiled this plan. Now they have raised their banners in open revolt!;;;;;;;;;;;;;x;
fe_plot.61.A;To arms!;;;;;;;;;;;;;x;
fe_plot.62.desc;Your attempt to take over the [Root.PlotTargetTitle.GetFullBaseName] has failed! Even worse, guards loyal to [Root.PlotTarget.GetTitledFirstName] captured you during the attempted coup. The [Root.PlotTarget.GetTitle] is unlikely to be amused by this escapade...;;;;;;;;;;;;;x;
fe_plot.62.A;This will take some explaining...;Des explications semblent inévitables...;Das wird schwer zu erklären sein...;;Hará falta una explicación convincente...;;;;;;;;;x
fe_plot.62.tooltip;the coup failing and [Root.GetTitledFirstName] being imprisoned by [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;;;;;x;
fe_plot.63.desc;Last night, there was a rather clumsy attempt to kidnap you. The would-be kidnappers confessed they were sent by [From.GetTitledName], as part of a plot to seize power in the [From.PlotTargetTitle.GetFullBaseName]. [From.GetFirstName] has confessed [From.GetHerHis] involvement and begs for your mercy...;;;;;;;;;;;;;x;
fe_plot.63.A;The nerve!;;;;;;;;;;;;;x;
fe_plot.5.desc;;;;;;;;;;;;;;x;
fe_plot.5.A;;;;;;;;;;;;;;x;
